No,상품명(라벨표기명),식품유형,용량,열량,바코드(GTIN-13),품목보고번호,기한표기,보관방법,용기재질,원재료명 및 함량,살균방법,판매가(소비자가),공급가,공급률(%),박스입수,발주단위,비고
1,송영신목장 A2저지 헤이밀크,우유,750mL,560kcal,8800348640027,202603750181,유통기한(라벨 표기일까지),0~10도 냉장,용기 PET/뚜껑 PE/라벨 PS,A2A2저지 원유 100%(국산),HTST 75도 20초,,,,,박스,1차 입점
2,송영신목장 A2저지 헤이밀크,우유,180mL,135kcal,8800348640003,202603750181,유통기한(라벨 표기일까지),0~10도 냉장,용기 PET/뚜껑 PE/라벨 PS,A2A2저지 원유 100%(국산),HTST 75도 20초,,,,,박스,1차 입점
3,송영신목장 A2저지 플레인요거트,발효유,500mL,360kcal,8800348640010,202603750182,소비기한(라벨 표기일까지),0~10도 냉장,용기 PET/뚜껑 PE/라벨 PS,A2A2저지 원유 99.997%(국산)+유산균(덴마크) 0.003%,원유 살균 85~90도 25~30분,,,,,박스,1차 입점
4,송영신목장 A2저지 플레인요거트,발효유,180mL,130kcal,8800348640058,202603750182,소비기한(라벨 표기일까지),0~10도 냉장,용기 PET/뚜껑 PE/라벨 PS,A2A2저지 원유 99.997%(국산)+유산균(덴마크) 0.003%,원유 살균 85~90도 25~30분,,,,,박스,1차 입점
5,A2저지 그릭요거트,발효유,,,,,,0~10도 냉장,,,,,,,,,확대 예정(품목제조보고 후 제시)
6,A2저지 카이막,확인필요,,,,,,0~10도 냉장,,,,,,,,,확대 예정(갤러리아 단독 선출시 제안)
7,A2저지 아이스크림,아이스크림류,,,,,,-18도 이하 냉동,,,,,,,,,확대 예정
8,A2 밀크티,확인필요,,,,,,0~10도 냉장,,,,,,,,,확대 예정
,,,,,,,,,,,,,,,,,
제조원,농업회사법인 주식회사 디투오,,,,,,,,,,,,,,,,
소재지,경기도 안성시 미양면 미양로 466,,,,,,,,,,,,,,,,
고객상담/주문,031-674-3150,,,,,,,,,,,,,,,,
보유인증,HACCP / 동물복지 제동물복지-10-30-6호 / 저탄소 제2024-2-068호 / 가축행복 가축행복-23-2-2호,,,,,,,,,,,,,,,,
