연번,구분,개체식별번호,관리번호(단축번호),유전형,검사일,검사의뢰처,원본순번
1,송영신목장,002 1492 1626 5,,A2A2,2025-12-24,송영신목장,2
2,송영신목장,002 1539 2238 4,,A2A2,2025-12-24,송영신목장,3
3,송영신목장,002 1539 3788 4,,A2A2,2025-12-24,송영신목장,4
4,송영신목장,002 1606 9685 3,,A2A2,2025-12-24,송영신목장,5
5,송영신목장,002 1625 4180 5,,A2A2,2025-12-24,송영신목장,6
6,송영신목장,002 1659 3323 4,,A2A2,2025-12-24,송영신목장,7
7,송영신목장,002 1664 7259 8,,A2A2,2025-12-24,송영신목장,8
8,송영신목장,002 1681 1966 6,,A2A2,2025-12-24,송영신목장,9
9,송영신목장,002 1681 2000 6,,A2A2,2025-12-24,송영신목장,10
10,송영신목장,002 1697 2801 2,,A2A2,2025-12-24,송영신목장,11
11,송영신목장,002 1697 2791 3,,A2A2,2025-12-24,송영신목장,12
12,송영신목장,002 1717 4081 4,,A2A2,2025-12-24,송영신목장,13
13,송영신목장,002 1738 3938 8,,A2A2,2025-12-24,송영신목장,14
14,송영신목장,002 1806 0650 8,,A2A2,2025-12-24,송영신목장,15
15,송영신목장,002 1799 7697 6,,A2A2,2025-12-24,송영신목장,16
16,송영신목장,002 1799 7868 5,,A2A2,2025-12-24,송영신목장,17
17,송영신목장,002 1799 8378 7,,A2A2,2025-12-24,송영신목장,18
18,송영신목장,002 1875 9263 9,,A2A2,2025-12-24,송영신목장,19
19,송영신목장,002 1922 7464 4,,A2A2,2025-12-24,송영신목장,20
20,송영신목장,002 1996 6433 8,,A2A2,2025-12-24,송영신목장,22
21,송영신목장,002 1753 4218 4,,A2A2,2025-12-24,송영신목장,23
22,송영신목장,002 1753 4219 2,,A2A2,2025-12-24,송영신목장,24
23,송영신목장,002 2044 0444 2,,A2A2,2025-12-24,송영신목장,25
24,송영신목장,002 2044 0721 0,,A2A2,2025-12-24,송영신목장,26
25,송영신목장,002 2044 0792 7,,A2A2,2025-12-24,송영신목장,27
26,송영신목장,002 2078 3905 7,,A2A2,2025-12-24,송영신목장,28
27,송영신목장,002 2078 4044 5,,A2A2,2025-12-24,송영신목장,29
28,송영신목장,002 2078 4149 5,,A2A2,2025-12-24,송영신목장,30
29,송영신목장,002 2078 4596 3,,A2A2,2025-12-24,송영신목장,31
30,송영신목장,002 2084 8059 3,,A2A2,2025-12-24,송영신목장,32
31,송영신목장,002 2094 9116 9,,A2A2,2025-12-24,송영신목장,34
32,송영신목장,002 2178 8748 4,,A2A2,2025-12-24,송영신목장,35
33,송영신목장,002 1771 6154 3,,A2A2,2025-12-24,송영신목장,36
34,송영신목장,002 1829 5409 0,,A2A2,2025-12-24,송영신목장,37
35,고려동물병원,,639,A2A2,2026-01-21,고려동물병원,1
36,고려동물병원,,640,A2A2,2026-01-21,고려동물병원,2
37,고려동물병원,,651,A2A2,2026-01-21,고려동물병원,3
38,고려동물병원,,654,A2A2,2026-01-21,고려동물병원,4
39,고려동물병원,,655,A2A2,2026-01-21,고려동물병원,5
40,고려동물병원,,656,A2A2,2026-01-21,고려동물병원,6
41,고려동물병원,,657,A2A2,2026-01-21,고려동물병원,7
42,고려동물병원,,659,A2A2,2026-01-21,고려동물병원,8
